f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,objectId,codigo_mun,EXCEL_ID,GlobalID
25053,Arbeláez,2.25563909774436,2.82738095238095,2.5,3.07692307692308,2.67942583732057,2.7027027027027,4.08163265306122,2.12765957446809,4.24242424242424,1.91387559808612,3.43642611683849,3.14232902033272,2.91970802919708,22,25053,08c92d38-2ab1-4b9e-80b3-9f68433e305b,56b405b0-bfdc-433d-b969-a8194a0adbd6
25086,Beltrán,0,0.793650793650794,4.34782608695652,1.23456790123457,2.61627906976744,2.35294117647059,0,0,0,0,0,0,2.0746887966805,23,25086,ffdf1f26-2045-4664-9a47-dab1c3a3ca91,918614f7-94fe-41b7-a617-d96cde4127f5
25095,Bituima,3.7037037037037,2.25563909774436,0,0,2.5,2.5,6.66666666666667,2.5,0.662251655629139,2.38095238095238,1.6260162601626,1.73611111111111,2.00892857142857,24,25095,ea0c12d0-9fc0-4df8-89e3-cb6e8a31f9e2,5b4ac2b3-3e88-446a-a6f9-a01cfa32ae52
25099,Bojacá,3.44827586206897,1.04166666666667,3.57142857142857,0,1.9672131147541,1.9672131147541,0.628930817610063,1.33136094674556,2.03735144312394,1.79640718562874,1.54494382022472,1.57133878064111,1.63502109704641,25,25099,59594e03-4942-45bf-bee4-6b336d8aa4bf,d0280bf3-3aae-4d63-bbb9-a7fa84e6f675
25120,Cabrera,0,0,0,0,0,0,1.66666666666667,3.11284046692607,7.76119402985075,9.27835051546392,5.3680981595092,5.87449933244326,4.34782608695652,26,25120,107fbfd9-229e-473f-be61-507693058e6b,872dfe59-1380-4be8-884f-ddefc15b9d0e
25123,Cachipay,0,4.34782608695652,2.11267605633803,2.77777777777778,3.27868852459016,3.24786324786325,0,4.62962962962963,1.19402985074627,0,2.60989010989011,2.27817745803357,2.67794221282593,27,25123,d73d0c3f-550b-4510-9e25-d3d52fc89572,94c1b940-0876-49c4-b04a-d5053994d648
25126,Cajicá,2.4,1.89445196211096,4.55658990690838,0.805369127516779,3.10813727606303,2.78914094458907,1.45631067961165,0.446428571428571,1.49732620320856,1.22448979591837,0.973020787262273,0.997605746209098,2.21968543886352,28,25126,9aa9ca0f-c5f1-49e6-b237-bdc1397eba4c,c1704bec-f154-4962-8eb7-17e5852a487e
25148,Caparrapí,1.73913043478261,1.20048019207683,4.98915401301518,4.13223140495868,2.48403122782115,2.61437908496732,0,1.07816711590297,1.77215189873418,0.833333333333333,1.32689987937274,1.26448893572181,2.09762000806777,29,25148,e64ebe54-f8bc-40a4-a5f4-ec3d7c999a6c,02165764-7e51-4c1a-b930-3ecbc0126e4a
25151,Caqueza,0.980392156862745,0.412087912087912,1.99501246882793,0,0.974817221770918,0.875912408759124,3.8961038961039,4.56852791878173,4.24966799468791,5.22875816993464,4.36578171091445,4.49775112443778,3.02580836547019,30,25151,12b2140f-3f43-4b2e-8392-a2b7f4851e88,962e1768-825b-4169-8b03-520af4aba9e3
25154,Carmen de Carupa,1.23456790123457,0.728597449908925,1.13636363636364,0,0.835654596100279,0.835654596100279,0,0,0.28328611898017,0,0.182481751824818,0.143266475644699,0.494350282485876,31,25154,dde064bb-f9cf-433f-a105-dd4840cbfe0c,87747671-5d71-4f5c-9fc0-d688c158ba0d
25168,Chaguaní,0,1.875,0,0,1.62162162162162,1.62162162162162,0,0,1.32743362831858,0,0.892857142857143,0.710900473933649,0.988467874794069,32,25168,2fc089fd-d522-486a-9330-32a5da38e6c0,350f45f7-fd94-49df-ae24-e018afc224d2
25175,Chía,1.59680638722555,1.64569215876089,3.07876849260296,3.41685649202734,2.2291427634814,2.37856426422124,2.15633423180593,1.20030007501875,2.02783300198807,2.17616580310881,1.63904899135447,1.71858216970999,2.05986959098992,33,25175,bd24a1aa-77f4-44a0-8ee2-32445a9f458d,d02134c7-fd6d-4079-98de-150302d13988
25178,Chipaque,0,0,0.819672131147541,0,0.216919739696312,0.190839694656489,0,0.733496332518337,2.39651416122004,3.08641975308642,1.47058823529412,1.70556552962298,1.22100122100122,34,25178,977ffaad-48fe-4bf8-af65-a7d97ca09d26,04d28840-aec1-4307-b100-7317cca7486d
25181,Choachí,2.10526315789474,2.57234726688103,3.125,3.06122448979592,2.71281571562208,2.74207369323051,0,1.23456790123457,0.617283950617284,1.28205128205128,0.848256361922714,0.926640926640927,1.78716490658002,35,25181,1806135b-9b53-4844-b44f-842e366fa361,a662bf5c-1257-421b-bb76-49fd451205a3
25183,Chocontá,1.66666666666667,1.88888888888889,0,0,1.85185185185185,1.85185185185185,1.47783251231527,0.451263537906137,1.59332321699545,1.64271047227926,1.10308101939901,1.18741976893453,1.35843660629171,36,25183,e5c426ed-20f9-40f4-bd15-2d77c4c021e4,f75d3c96-8b2c-43b5-913a-a7a880e303e6
25200,Cogua,1.93548387096774,0.598802395209581,4.64601769911504,5.13698630136986,2.4745269286754,2.80492987675308,2.1505376344086,0.492610837438424,0.89086859688196,1.25786163522013,0.843881856540084,0.903342366757001,2.19653179190751,37,25200,7f5e8643-758f-4771-ab68-f0b0a0f22069,178d6496-cfc1-4386-b49d-9fc776ce4ac3
25214,Cota,3.7037037037037,3.29920364050057,9.03732809430256,6.48648648648649,5.25279054497702,5.3864168618267,2,2.10526315789474,3.13725490196078,1.53256704980843,2.6865671641791,2.49843847595253,3.98912058023572,38,25214,cac48467-7e46-4ed7-bf8e-516a63ff0d5b,12cb6701-e744-4652-aefe-9b86c5efa420
25224,Cucunubá,2.4390243902439,1.35440180586907,2.10084033613445,0,1.70380078636959,1.51162790697674,0,1.11111111111111,2.1505376344086,0,1.4308426073132,1.26404494382022,1.39949109414758,39,25224,d670df42-d6d0-455e-b31e-5dbce4d09b43,991dcebb-0d9c-42d2-a265-32c9bd04f80f
25245,El Colegio,3.06122448979592,2.4247491638796,2.91970802919708,2.53164556962025,2.66485998193315,2.65197878416973,0,0.72992700729927,3.05980528511822,0.78740157480315,1.78335535006605,1.64027149321267,2.2280161175634,40,25245,6994c404-6256-49f9-aee7-a6d121bebe08,7b2e1f44-0cd5-4c9c-bda6-4fb152551b22
25258,El Peñón,8.16326530612245,3.08219178082192,2.56410256410256,5.40540540540541,3.49344978165939,3.63636363636364,5.88235294117647,1.35135135135135,2.53164556962025,1.96078431372549,2.40963855421687,2.33333333333333,3.14465408805031,41,25258,e648dca6-f1ee-42bc-8fda-32e631b2cab6,84e15888-2d14-439f-9a18-0bd8cdd4a96e
25260,El Rosal,4.59770114942529,1.28755364806867,3.65853658536585,0,2.37797246558198,2.23792697290931,3.2967032967033,2.07100591715976,4.79274611398964,4.2654028436019,3.2520325203252,3.35016062413951,3.03830911492734,42,25260,8ae50f22-fb8c-4c92-9857-1b4572af2eca,6a5adcea-7705-44d7-8d7e-9acd5a440da8
25269,Facatativá,0,0.644329896907216,0.53475935828877,0.558659217877095,0.54678007290401,0.547945205479452,0.812347684809098,1.78410987036324,4.90693739424704,3.48304307974335,3.01488114410874,3.07257836769274,2.83666154633897,43,25269,4e0186bd-a7de-49ac-9e99-648c5809ba4c,81dbf12b-34da-4a9a-979d-3c8a82e928f4
25279,Fomeque,0,0.236406619385343,0,0,0.144092219020173,0.134770889487871,3.30578512396694,0.545454545454546,1.63339382940109,0.904977375565611,1.30932896890344,1.24740124740125,0.869565217391304,44,25279,9783ce94-17db-4095-8964-69cec538dbd4,dbcbea86-7bc9-497b-80ba-4db239edda29
